trial_Num,turn,step,Fig_Pos,L_Key,R_Key,error,category,Time,All_Time,exp
,,,,,,,,,,
4,1,0,-840,-,R,1,4.XR,0.39,0.39,indivi
4,1,1,-800,L,-,0,0.L,0.13,0.52,indivi
4,-1,2,-760,-,R,0,5.R,0.27,0.79,indivi
4,1,3,-720,L,-,0,0.L,0.13,0.92,indivi
4,-1,4,-680,-,R,0,5.R,0.13,1.05,indivi
4,1,5,-640,L,-,0,0.L,0.27,1.32,indivi
4,-1,6,-600,-,R,0,5.R,0.13,1.45,indivi
4,1,6,-600,L,R,1,3.XRL,0.27,1.72,indivi
4,1,6,-600,L,R,1,3.XRL,0.27,1.99,indivi
4,1,7,-560,L,-,0,0.L,0.4,2.39,indivi
4,-1,8,-520,-,R,0,5.R,0.13,2.52,indivi
4,1,9,-480,L,-,0,0.L,0.27,2.79,indivi
4,-1,10,-440,-,R,0,5.R,0.13,2.92,indivi
4,1,11,-400,L,-,0,0.L,0.27,3.19,indivi
4,-1,12,-360,-,R,0,5.R,0.27,3.45,indivi
4,1,13,-320,L,-,0,0.L,0.27,3.72,indivi
4,-1,14,-280,-,R,0,5.R,0.13,3.85,indivi
4,1,14,-280,L,R,1,3.XRL,0.27,4.12,indivi
4,1,14,-280,-,R,1,4.XR,0.26,4.39,indivi
4,1,14,-280,L,R,1,3.XRL,0.4,4.79,indivi
4,1,14,-280,-,R,1,4.XR,0.27,5.06,indivi
4,1,15,-240,L,-,0,0.L,0.26,5.32,indivi
4,-1,16,-200,-,R,0,5.R,0.27,5.59,indivi
4,1,16,-200,L,R,1,3.XRL,0.27,5.85,indivi
4,1,17,-160,L,-,0,0.L,0.27,6.12,indivi
4,-1,18,-120,-,R,0,5.R,0.26,6.38,indivi
4,1,19,-80,L,-,0,0.L,0.13,6.52,indivi
4,-1,20,-40,-,R,0,5.R,0.26,6.78,indivi
4,1,20,-40,L,R,1,3.XRL,0.27,7.05,indivi
4,1,20,-40,-,R,1,4.XR,0.27,7.32,indivi
4,1,21,0,L,-,0,0.L,0.26,7.58,indivi
4,-1,22,40,-,R,0,5.R,0.14,7.72,indivi
4,1,22,40,L,R,1,3.XRL,0.27,7.99,indivi
4,1,22,40,L,R,1,3.XRL,0.27,8.26,indivi
4,1,22,40,-,R,1,4.XR,0.41,8.67,indivi
4,1,23,80,L,-,0,0.L,0.27,8.94,indivi
4,-1,24,120,-,R,0,5.R,0.13,9.07,indivi
4,1,24,120,L,R,1,3.XRL,0.4,9.47,indivi
4,1,25,160,L,-,0,0.L,0.26,9.74,indivi
4,-1,26,200,-,R,0,5.R,0.4,10.14,indivi
4,1,27,240,L,-,0,0.L,0.27,10.41,indivi
4,-1,28,280,-,R,0,5.R,0.12,10.53,indivi
4,1,28,280,L,R,1,3.XRL,0.41,10.94,indivi
4,1,28,280,-,R,1,4.XR,0.39,11.33,indivi
4,1,29,320,L,-,0,0.L,0.26,11.6,indivi
4,-1,30,360,-,R,0,5.R,0.14,11.74,indivi
4,1,30,360,L,R,1,3.XRL,0.39,12.13,indivi
4,1,31,400,L,-,0,0.L,0.27,12.4,indivi
4,-1,32,440,-,R,0,5.R,0.4,12.8,indivi
4,1,33,480,L,-,0,0.L,0.13,12.93,indivi
4,-1,34,520,-,R,0,5.R,0.38,13.32,indivi
4,1,35,560,L,-,0,0.L,0.27,13.58,indivi
4,-1,36,600,-,R,0,5.R,0.13,13.71,indivi
4,1,37,640,L,-,0,0.L,0.41,14.12,indivi
4,-1,37,640,L,R,1,2.XLR,0.39,14.52,indivi
4,-1,37,640,L,R,1,2.XLR,0.27,14.78,indivi
4,-1,38,680,-,R,0,5.R,0.4,15.18,indivi
4,1,39,720,L,-,0,0.L,0.27,15.46,indivi
4,-1,40,760,-,R,0,5.R,0.26,15.72,indivi
4,1,40,760,-,R,1,4.XR,0.54,16.25,indivi
4,1,40,760,-,R,1,4.XR,0.27,16.52,indivi
4,1,41,800,L,-,0,0.L,0.13,16.65,indivi
4,-1,41,800,L,R,1,2.XLR,2.13,18.78,indivi
4,-1,42,840,-,R,0,5.R,0.93,19.72,indivi
4,1,43,880,L,-,0,0.L,0.14,19.85,indivi
